"LocalityName3","Treatment","Subplot","Moss_depth","CCI","UCI","Soil_temp","avenellaBM","shrubBM","total_SR","moss_SR","vasc_SR","simpsons_moss","simpsons_vasc","shannon_vasc","shannon_moss"
"Selbu_Sl","Exclosed",10,2.5,64.4725,0.910217904751246,11.6291052259887,10.19548125,0,22,9,13,0.748299319727891,0.778003086991895,1.64376275545667,1.60194346075533
"Sl_Tydal","Open plots",1,0.666666666666667,1.725,0.0772182697792285,10.4081299435028,16.16078125,98.94895625,11,5,6,0.7578125,0.284248867545263,0.545103515558373,1.48984879647419
"Sl_Tydal","Open plots",2,6.6,13.155,-1.00964739501222,12.212906779661,0,90.79444375,12,4,8,0.74190103239587,0.593970385877317,0.969890048975603,1.36978430412257
"Sl_Tydal","Open plots",3,6.21428571428571,0.0825,-0.108018794984818,9.3541052259887,12.8053,103.5995875,11,5,6,0.756242568370987,0.195810216882121,0.346529029670557,1.49387339570042
"Sl_Tydal","Open plots",4,5.33333333333333,2.86,0.18729703575472,11.2352252824859,4.6030125,146.74096875,14,6,8,0.695501730103806,0.419665064962238,0.754072271450534,1.40785510459862
"Sl_Tydal","Open plots",5,5.53846153846154,0,-0.781235841389287,10.8915628531073,4.23018125,90.93339375,10,5,5,0.72375,0.482975290988914,0.781563582349138,1.39865925855952
"Sl_Tydal","Open plots",6,1.8,0.4375,-1.39162785586368,10.8576002824859,2.366025,53.72834375,11,4,7,0.597222222222222,0.513129707799389,0.96343310968936,1.11874333598575
"Sl_Tydal","Open plots",7,3.6875,1.8125,-0.16472300919995,11.4924696327684,6.84,118.83718125,13,5,8,0.724489795918367,0.545186248944143,0.90852552705952,1.38027292332124
"Sl_Tydal","Open plots",8,1.5625,23.455,1.911752320919,10.9799258474576,1.24753125,267.65738125,10,5,5,0.666666666666667,0.38936364334823,0.663456840272725,1.27917745623232
"Sl_Tydal","Open plots",9,6.75,0.8425,-1.5599666296749,11.3911927966102,1.24753125,53.61765625,11,4,7,0.559171597633136,0.628501448043625,1.10382362240012,0.951456017077094
"Sl_Tydal","Open plots",10,1.9375,22.4375,0.54193998971064,10.5958898305085,6.0943375,151.3916,14,5,9,0.777008310249307,0.494834730305259,0.968299636900217,1.54761010544857
